HOLEID,X,Y,Z,cu_ppm,au_ppm,ag_ppm,fe_ppm,s_ppm,total_sulphide_ppm,CuEq_ppm
13,370.86517499992624,-457.6103199962527,124.01,10400.0,1.23,1.63,375100.0,5699.999999999999,391200.0,10721.42
13,373.825174999889,-453.38031999766827,108.53,10300.0,1.39,1.87,424200.0,6700.0,441200.0,10665.58
13,375.9951749999309,-450.3603199962527,97.38,20400.0,4.05,4.36,470500.0,11299.999999999998,502200.0,21373.74
13,379.3051749998704,-445.81031999737024,80.47,8900.0,1.86,1.36,366500.0,6800.000000000001,382200.0,9293.24
13,383.7351749999216,-439.88031999766827,57.95,12200.0,3.38,0.8,475300.0,11500.0,499000.0,12774.2
13,388.6551749999635,-433.3903199974448,32.95,3200.0,0.16,1.01,241100.0,1300.0,245600.0,3308.84
13,391.5651749998797,-429.4803199972957,17.7,1900.0,0.14,0.56,236100.0,800.0,238800.0,1968.04
13,393.0851749998983,-427.3903199974448,9.45,1600.0,0.11,0.54,208400.0,600.0,210600.0,1661.86
13,396.13517499994487,-423.1203199978918,-7.4,4100.0,0.28,1.29,239100.0,1500.0,244700.0,4250.36
13,400.2251749999122,-417.1103199962527,-31.32,2000.0,0.12,0.7,231700.00000000003,800.0,234500.00000000003,2076.8
13,402.8351749998983,-413.1803199965507,-47.37,2600.0,0.17,0.74,231600.0,1200.0,235400.0,2687.66
13,405.2651749999495,-409.4403199963272,-62.55,1500.0,0.12,0.48,231600.0,600.0,233700.0,1558.32
13,407.5951749999076,-405.9503199979663,-76.8,45700.0,5.89,11.87,487700.00000000006,21500.0,554900.0,47580.58
14,517.0251749999588,-333.2903199978173,209.35,6100.0,0.13,1.55,238200.0,1800.0,246100.0,6249.7
14,515.6451749999542,-336.6903199963272,199.25,26800.0,0.84,5.0,401700.0,8600.0,437100.0,27346.0
14,515.1651749999728,-337.88031999766827,195.69,8600.0,0.32,1.14,314900.0,3400.0000000000005,326900.0,8743.76
14,513.7251749999123,-341.4303199965507,185.15,16299.999999999998,0.8,1.97,432500.0,7900.0,456700.0,16585.48
14,511.7251749999122,-346.36031999625266,170.53,4100.0,0.11,0.89,214800.0,1400.0000000000002,220300.0,4191.26
14,510.6551749999635,-349.0003199968487,162.7,700.0000000000001,0.03,0.16,231300.0,300.0,232300.0,717.9400000000002
